id,chi_1,con_giap_1,chi_2,con_giap_2,quan_he,nguon,ghi_chu
1-1,Tý,Chuột,Tý,Chuột,cung_chi,tinh-toan,
1-2,Tý,Chuột,Sửu,Trâu,binh_thuong,tinh-toan,
1-3,Tý,Chuột,Dần,Hổ,binh_thuong,tinh-toan,
1-4,Tý,Chuột,Mão,Mèo,tu_hanh_xung,tinh-toan,
1-5,Tý,Chuột,Thìn,Rồng,tam_hop,tinh-toan,
1-6,Tý,Chuột,Tỵ,Rắn,binh_thuong,tinh-toan,
1-7,Tý,Chuột,Ngọ,Ngựa,tu_hanh_xung,tinh-toan,
1-8,Tý,Chuột,Mùi,Dê,luc_hai,tinh-toan,
1-9,Tý,Chuột,Thân,Khỉ,tam_hop,tinh-toan,
1-10,Tý,Chuột,Dậu,Gà,tu_hanh_xung,tinh-toan,
1-11,Tý,Chuột,Tuất,Chó,binh_thuong,tinh-toan,
1-12,Tý,Chuột,Hợi,Lợn,binh_thuong,tinh-toan,
2-1,Sửu,Trâu,Tý,Chuột,binh_thuong,tinh-toan,
2-2,Sửu,Trâu,Sửu,Trâu,cung_chi,tinh-toan,
2-3,Sửu,Trâu,Dần,Hổ,binh_thuong,tinh-toan,
2-4,Sửu,Trâu,Mão,Mèo,binh_thuong,tinh-toan,
2-5,Sửu,Trâu,Thìn,Rồng,tu_hanh_xung,tinh-toan,
2-6,Sửu,Trâu,Tỵ,Rắn,tam_hop,tinh-toan,
2-7,Sửu,Trâu,Ngọ,Ngựa,luc_hai,tinh-toan,
2-8,Sửu,Trâu,Mùi,Dê,tu_hanh_xung,tinh-toan,
2-9,Sửu,Trâu,Thân,Khỉ,binh_thuong,tinh-toan,
2-10,Sửu,Trâu,Dậu,Gà,tam_hop,tinh-toan,
2-11,Sửu,Trâu,Tuất,Chó,tu_hanh_xung,tinh-toan,
2-12,Sửu,Trâu,Hợi,Lợn,binh_thuong,tinh-toan,
3-1,Dần,Hổ,Tý,Chuột,binh_thuong,tinh-toan,
3-2,Dần,Hổ,Sửu,Trâu,binh_thuong,tinh-toan,
3-3,Dần,Hổ,Dần,Hổ,cung_chi,tinh-toan,
3-4,Dần,Hổ,Mão,Mèo,binh_thuong,tinh-toan,
3-5,Dần,Hổ,Thìn,Rồng,binh_thuong,tinh-toan,
3-6,Dần,Hổ,Tỵ,Rắn,tu_hanh_xung,tinh-toan,
3-7,Dần,Hổ,Ngọ,Ngựa,tam_hop,tinh-toan,
