id,nam,thu_tu,ten,ten_en,kinh_do_mat_troi,ngay_bat_dau,y_nghia,nguon,ghi_chu
2020-01,2020,1,Tiểu Hàn,Minor Cold,285,2020-01-06,Bắt đầu rét đậm,tinh-toan,
2020-02,2020,2,Đại Hàn,Major Cold,300,2020-01-20,Thời điểm rét nhất trong năm,tinh-toan,
2020-03,2020,3,Lập Xuân,Start of Spring,315,2020-02-04,"Bắt đầu mùa xuân, cũng là mốc sang năm mới trong Tứ Trụ",tinh-toan,
2020-04,2020,4,Vũ Thủy,Rain Water,330,2020-02-19,"Mưa xuân thay cho tuyết, băng tan",tinh-toan,
2020-05,2020,5,Kinh Trập,Awakening of Insects,345,2020-03-05,Sâu bọ tỉnh giấc sau mùa đông,tinh-toan,
2020-06,2020,6,Xuân Phân,Vernal Equinox,0,2020-03-20,"Ngày và đêm dài bằng nhau, mặt trời qua xích đạo lên bắc bán cầu",tinh-toan,
2020-07,2020,7,Thanh Minh,Clear and Bright,15,2020-04-04,"Trời quang, tiết đi tảo mộ của người Việt",tinh-toan,
2020-08,2020,8,Cốc Vũ,Grain Rain,30,2020-04-19,Mưa rào nuôi ngũ cốc mới gieo,tinh-toan,
2020-09,2020,9,Lập Hạ,Start of Summer,45,2020-05-05,Bắt đầu mùa hè,tinh-toan,
2020-10,2020,10,Tiểu Mãn,Grain Buds,60,2020-05-20,Hạt ngũ cốc bắt đầu mẩy nhưng chưa chín,tinh-toan,
2020-11,2020,11,Mang Chủng,Grain in Ear,75,2020-06-05,"Lúa trổ bông, vào vụ gặt chiêm",tinh-toan,
2020-12,2020,12,Hạ Chí,Summer Solstice,90,2020-06-21,Ngày dài nhất năm ở bắc bán cầu,tinh-toan,
2020-13,2020,13,Tiểu Thử,Minor Heat,105,2020-07-06,Bắt đầu nóng nhưng chưa gay gắt nhất,tinh-toan,
2020-14,2020,14,Đại Thử,Major Heat,120,2020-07-22,Thời điểm nóng nhất trong năm,tinh-toan,
2020-15,2020,15,Lập Thu,Start of Autumn,135,2020-08-07,Bắt đầu mùa thu,tinh-toan,
2020-16,2020,16,Xử Thử,End of Heat,150,2020-08-22,Cái nóng lui dần,tinh-toan,
2020-17,2020,17,Bạch Lộ,White Dew,165,2020-09-07,"Sương trắng đọng buổi sớm, trời se lạnh",tinh-toan,
2020-18,2020,18,Thu Phân,Autumnal Equinox,180,2020-09-22,"Ngày và đêm dài bằng nhau, mặt trời qua xích đạo xuống nam bán cầu",tinh-toan,
2020-19,2020,19,Hàn Lộ,Cold Dew,195,2020-10-08,"Sương lạnh, rét bắt đầu rõ",tinh-toan,
2020-20,2020,20,Sương Giáng,Frost Descent,210,2020-10-23,Sương muối xuất hiện ở vùng cao,tinh-toan,
2020-21,2020,21,Lập Đông,Start of Winter,225,2020-11-07,Bắt đầu mùa đông,tinh-toan,
2020-22,2020,22,Tiểu Tuyết,Minor Snow,240,2020-11-22,Bắt đầu có tuyết ở phương bắc,tinh-toan,
2020-23,2020,23,Đại Tuyết,Major Snow,255,2020-12-06,Tuyết rơi dày ở phương bắc,tinh-toan,
2020-24,2020,24,Đông Chí,Winter Solstice,270,2020-12-21,Ngày ngắn nhất năm ở bắc bán cầu,tinh-toan,
2021-01,2021,1,Tiểu Hàn,Minor Cold,285,2021-01-05,Bắt đầu rét đậm,tinh-toan,
