id,thu_tu,can_chi,can,chi,con_giap,ngu_hanh_nap_am,ten_nap_am,cac_nam,nguon,ghi_chu
1,1,Giáp Tý,Giáp,Tý,Chuột,Kim,Hải Trung Kim,1924; 1984,tinh-toan,
2,2,Ất Sửu,Ất,Sửu,Trâu,Kim,Hải Trung Kim,1925; 1985,tinh-toan,
3,3,Bính Dần,Bính,Dần,Hổ,Hỏa,Lư Trung Hỏa,1926; 1986,tinh-toan,
4,4,Đinh Mão,Đinh,Mão,Mèo,Hỏa,Lư Trung Hỏa,1927; 1987,tinh-toan,
5,5,Mậu Thìn,Mậu,Thìn,Rồng,Mộc,Đại Lâm Mộc,1928; 1988,tinh-toan,
6,6,Kỷ Tỵ,Kỷ,Tỵ,Rắn,Mộc,Đại Lâm Mộc,1929; 1989,tinh-toan,
7,7,Canh Ngọ,Canh,Ngọ,Ngựa,Thổ,Lộ Bàng Thổ,1930; 1990,tinh-toan,
8,8,Tân Mùi,Tân,Mùi,Dê,Thổ,Lộ Bàng Thổ,1931; 1991,tinh-toan,
9,9,Nhâm Thân,Nhâm,Thân,Khỉ,Kim,Kiếm Phong Kim,1932; 1992,tinh-toan,
10,10,Quý Dậu,Quý,Dậu,Gà,Kim,Kiếm Phong Kim,1933; 1993,tinh-toan,
11,11,Giáp Tuất,Giáp,Tuất,Chó,Hỏa,Sơn Đầu Hỏa,1934; 1994,tinh-toan,
12,12,Ất Hợi,Ất,Hợi,Lợn,Hỏa,Sơn Đầu Hỏa,1935; 1995,tinh-toan,
13,13,Bính Tý,Bính,Tý,Chuột,Thủy,Giản Hạ Thủy,1936; 1996,tinh-toan,
14,14,Đinh Sửu,Đinh,Sửu,Trâu,Thủy,Giản Hạ Thủy,1937; 1997,tinh-toan,
15,15,Mậu Dần,Mậu,Dần,Hổ,Thổ,Thành Đầu Thổ,1938; 1998,tinh-toan,
16,16,Kỷ Mão,Kỷ,Mão,Mèo,Thổ,Thành Đầu Thổ,1939; 1999,tinh-toan,
17,17,Canh Thìn,Canh,Thìn,Rồng,Kim,Bạch Lạp Kim,1940; 2000,tinh-toan,
18,18,Tân Tỵ,Tân,Tỵ,Rắn,Kim,Bạch Lạp Kim,1941; 2001,tinh-toan,
19,19,Nhâm Ngọ,Nhâm,Ngọ,Ngựa,Mộc,Dương Liễu Mộc,1942; 2002,tinh-toan,
20,20,Quý Mùi,Quý,Mùi,Dê,Mộc,Dương Liễu Mộc,1943; 2003,tinh-toan,
21,21,Giáp Thân,Giáp,Thân,Khỉ,Thủy,Tuyền Trung Thủy,1944; 2004,tinh-toan,
22,22,Ất Dậu,Ất,Dậu,Gà,Thủy,Tuyền Trung Thủy,1945; 2005,tinh-toan,
23,23,Bính Tuất,Bính,Tuất,Chó,Thổ,Ốc Thượng Thổ,1946; 2006,tinh-toan,
24,24,Đinh Hợi,Đinh,Hợi,Lợn,Thổ,Ốc Thượng Thổ,1947; 2007,tinh-toan,
25,25,Mậu Tý,Mậu,Tý,Chuột,Hỏa,Tích Lịch Hỏa,1948; 2008,tinh-toan,
26,26,Kỷ Sửu,Kỷ,Sửu,Trâu,Hỏa,Tích Lịch Hỏa,1949; 2009,tinh-toan,
27,27,Canh Dần,Canh,Dần,Hổ,Mộc,Tùng Bách Mộc,1950; 2010,tinh-toan,
28,28,Tân Mão,Tân,Mão,Mèo,Mộc,Tùng Bách Mộc,1951; 2011,tinh-toan,
29,29,Nhâm Thìn,Nhâm,Thìn,Rồng,Thủy,Trường Lưu Thủy,1952; 2012,tinh-toan,
30,30,Quý Tỵ,Quý,Tỵ,Rắn,Thủy,Trường Lưu Thủy,1953; 2013,tinh-toan,
31,31,Giáp Ngọ,Giáp,Ngọ,Ngựa,Kim,Sa Trung Kim,1954; 2014,tinh-toan,
32,32,Ất Mùi,Ất,Mùi,Dê,Kim,Sa Trung Kim,1955; 2015,tinh-toan,
33,33,Bính Thân,Bính,Thân,Khỉ,Hỏa,Sơn Hạ Hỏa,1956; 2016,tinh-toan,
34,34,Đinh Dậu,Đinh,Dậu,Gà,Hỏa,Sơn Hạ Hỏa,1957; 2017,tinh-toan,
35,35,Mậu Tuất,Mậu,Tuất,Chó,Mộc,Bình Địa Mộc,1958; 2018,tinh-toan,
36,36,Kỷ Hợi,Kỷ,Hợi,Lợn,Mộc,Bình Địa Mộc,1959; 2019,tinh-toan,
37,37,Canh Tý,Canh,Tý,Chuột,Thổ,Bích Thượng Thổ,1960; 2020,tinh-toan,
38,38,Tân Sửu,Tân,Sửu,Trâu,Thổ,Bích Thượng Thổ,1961; 2021,tinh-toan,
39,39,Nhâm Dần,Nhâm,Dần,Hổ,Kim,Kim Bạc Kim,1962; 2022,tinh-toan,
40,40,Quý Mão,Quý,Mão,Mèo,Kim,Kim Bạc Kim,1963; 2023,tinh-toan,
41,41,Giáp Thìn,Giáp,Thìn,Rồng,Hỏa,Phú Đăng Hỏa,1964; 2024,tinh-toan,
42,42,Ất Tỵ,Ất,Tỵ,Rắn,Hỏa,Phú Đăng Hỏa,1965; 2025,tinh-toan,
43,43,Bính Ngọ,Bính,Ngọ,Ngựa,Thủy,Thiên Hà Thủy,1966; 2026,tinh-toan,
44,44,Đinh Mùi,Đinh,Mùi,Dê,Thủy,Thiên Hà Thủy,1967; 2027,tinh-toan,
45,45,Mậu Thân,Mậu,Thân,Khỉ,Thổ,Đại Trạch Thổ,1968; 2028,tinh-toan,
46,46,Kỷ Dậu,Kỷ,Dậu,Gà,Thổ,Đại Trạch Thổ,1969; 2029,tinh-toan,
47,47,Canh Tuất,Canh,Tuất,Chó,Kim,Thoa Xuyến Kim,1970; 2030,tinh-toan,
48,48,Tân Hợi,Tân,Hợi,Lợn,Kim,Thoa Xuyến Kim,1971; 2031,tinh-toan,
49,49,Nhâm Tý,Nhâm,Tý,Chuột,Mộc,Tang Đố Mộc,1972; 2032,tinh-toan,
50,50,Quý Sửu,Quý,Sửu,Trâu,Mộc,Tang Đố Mộc,1973; 2033,tinh-toan,
51,51,Giáp Dần,Giáp,Dần,Hổ,Thủy,Đại Khê Thủy,1974; 2034,tinh-toan,
52,52,Ất Mão,Ất,Mão,Mèo,Thủy,Đại Khê Thủy,1975; 2035,tinh-toan,
53,53,Bính Thìn,Bính,Thìn,Rồng,Thổ,Sa Trung Thổ,1976; 2036,tinh-toan,
54,54,Đinh Tỵ,Đinh,Tỵ,Rắn,Thổ,Sa Trung Thổ,1977; 2037,tinh-toan,
55,55,Mậu Ngọ,Mậu,Ngọ,Ngựa,Hỏa,Thiên Thượng Hỏa,1978; 2038,tinh-toan,
56,56,Kỷ Mùi,Kỷ,Mùi,Dê,Hỏa,Thiên Thượng Hỏa,1979; 2039,tinh-toan,
57,57,Canh Thân,Canh,Thân,Khỉ,Mộc,Thạch Lựu Mộc,1980; 2040,tinh-toan,
58,58,Tân Dậu,Tân,Dậu,Gà,Mộc,Thạch Lựu Mộc,1981; 2041,tinh-toan,
59,59,Nhâm Tuất,Nhâm,Tuất,Chó,Thủy,Đại Hải Thủy,1982; 2042,tinh-toan,
60,60,Quý Hợi,Quý,Hợi,Lợn,Thủy,Đại Hải Thủy,1983; 2043,tinh-toan,
