id,nam,cung,cung_en,hoang_kinh,ngay_vao_cung,gio,phut,sat_nua_dem,nguon,ghi_chu
1950-300,1950,Bảo Bình,Aquarius,300,1950-01-20,21,48,khong,tinh-toan,
1950-330,1950,Song Ngư,Pisces,330,1950-02-19,12,7,khong,tinh-toan,
1950-000,1950,Bạch Dương,Aries,0,1950-03-21,11,27,khong,tinh-toan,
1950-030,1950,Kim Ngưu,Taurus,30,1950-04-20,22,53,khong,tinh-toan,
1950-060,1950,Song Tử,Gemini,60,1950-05-21,22,22,khong,tinh-toan,
1950-090,1950,Cự Giải,Cancer,90,1950-06-22,6,32,khong,tinh-toan,
1950-120,1950,Sư Tử,Leo,120,1950-07-23,17,27,khong,tinh-toan,
1950-150,1950,Xử Nữ,Virgo,150,1950-08-24,0,20,co,tinh-toan,Sát nửa đêm: sai số 4 tới 14 phút của mô hình có thể đổi ngày vào cung
1950-180,1950,Thiên Bình,Libra,180,1950-09-23,21,39,khong,tinh-toan,
1950-210,1950,Bọ Cạp,Scorpio,210,1950-10-24,6,36,khong,tinh-toan,
1950-240,1950,Nhân Mã,Sagittarius,240,1950-11-23,3,51,khong,tinh-toan,
1950-270,1950,Ma Kết,Capricorn,270,1950-12-22,16,59,khong,tinh-toan,
1951-300,1951,Bảo Bình,Aquarius,300,1951-01-21,3,38,khong,tinh-toan,
1951-330,1951,Song Ngư,Pisces,330,1951-02-19,17,57,khong,tinh-toan,
1951-000,1951,Bạch Dương,Aries,0,1951-03-21,17,16,khong,tinh-toan,
1951-030,1951,Kim Ngưu,Taurus,30,1951-04-21,4,41,khong,tinh-toan,
1951-060,1951,Song Tử,Gemini,60,1951-05-22,4,10,khong,tinh-toan,
1951-090,1951,Cự Giải,Cancer,90,1951-06-22,12,20,khong,tinh-toan,
1951-120,1951,Sư Tử,Leo,120,1951-07-23,23,15,khong,tinh-toan,
1951-150,1951,Xử Nữ,Virgo,150,1951-08-24,6,8,khong,tinh-toan,
1951-180,1951,Thiên Bình,Libra,180,1951-09-24,3,27,khong,tinh-toan,
1951-210,1951,Bọ Cạp,Scorpio,210,1951-10-24,12,25,khong,tinh-toan,
1951-240,1951,Nhân Mã,Sagittarius,240,1951-11-23,9,40,khong,tinh-toan,
1951-270,1951,Ma Kết,Capricorn,270,1951-12-22,22,49,khong,tinh-toan,
1952-300,1952,Bảo Bình,Aquarius,300,1952-01-21,9,28,khong,tinh-toan,
1952-330,1952,Song Ngư,Pisces,330,1952-02-19,23,46,co,tinh-toan,Sát nửa đêm: sai số 4 tới 14 phút của mô hình có thể đổi ngày vào cung
1952-000,1952,Bạch Dương,Aries,0,1952-03-20,23,5,khong,tinh-toan,
1952-030,1952,Kim Ngưu,Taurus,30,1952-04-20,10,29,khong,tinh-toan,
1952-060,1952,Song Tử,Gemini,60,1952-05-21,9,58,khong,tinh-toan,
1952-090,1952,Cự Giải,Cancer,90,1952-06-21,18,8,khong,tinh-toan,
1952-120,1952,Sư Tử,Leo,120,1952-07-23,5,2,khong,tinh-toan,
1952-150,1952,Xử Nữ,Virgo,150,1952-08-23,11,56,khong,tinh-toan,
1952-180,1952,Thiên Bình,Libra,180,1952-09-23,9,15,khong,tinh-toan,
1952-210,1952,Bọ Cạp,Scorpio,210,1952-10-23,18,14,khong,tinh-toan,
1952-240,1952,Nhân Mã,Sagittarius,240,1952-11-22,15,30,khong,tinh-toan,
1952-270,1952,Ma Kết,Capricorn,270,1952-12-22,4,38,khong,tinh-toan,
1953-300,1953,Bảo Bình,Aquarius,300,1953-01-20,15,17,khong,tinh-toan,
1953-330,1953,Song Ngư,Pisces,330,1953-02-19,5,36,khong,tinh-toan,
1953-000,1953,Bạch Dương,Aries,0,1953-03-21,4,54,khong,tinh-toan,
1953-030,1953,Kim Ngưu,Taurus,30,1953-04-20,16,18,khong,tinh-toan,
1953-060,1953,Song Tử,Gemini,60,1953-05-21,15,46,khong,tinh-toan,
1953-090,1953,Cự Giải,Cancer,90,1953-06-21,23,56,co,tinh-toan,Sát nửa đêm: sai số 4 tới 14 phút của mô hình có thể đổi ngày vào cung
1953-120,1953,Sư Tử,Leo,120,1953-07-23,10,50,khong,tinh-toan,
1953-150,1953,Xử Nữ,Virgo,150,1953-08-23,17,44,khong,tinh-toan,
1953-180,1953,Thiên Bình,Libra,180,1953-09-23,15,4,khong,tinh-toan,
1953-210,1953,Bọ Cạp,Scorpio,210,1953-10-24,0,3,co,tinh-toan,Sát nửa đêm: sai số 4 tới 14 phút của mô hình có thể đổi ngày vào cung
1953-240,1953,Nhân Mã,Sagittarius,240,1953-11-22,21,19,khong,tinh-toan,
1953-270,1953,Ma Kết,Capricorn,270,1953-12-22,10,28,khong,tinh-toan,
1954-300,1954,Bảo Bình,Aquarius,300,1954-01-20,21,7,khong,tinh-toan,
1954-330,1954,Song Ngư,Pisces,330,1954-02-19,11,25,khong,tinh-toan,
1954-000,1954,Bạch Dương,Aries,0,1954-03-21,10,43,khong,tinh-toan,
1954-030,1954,Kim Ngưu,Taurus,30,1954-04-20,22,7,khong,tinh-toan,
1954-060,1954,Song Tử,Gemini,60,1954-05-21,21,34,khong,tinh-toan,
1954-090,1954,Cự Giải,Cancer,90,1954-06-22,5,43,khong,tinh-toan,
1954-120,1954,Sư Tử,Leo,120,1954-07-23,16,38,khong,tinh-toan,
1954-150,1954,Xử Nữ,Virgo,150,1954-08-23,23,32,co,tinh-toan,Sát nửa đêm: sai số 4 tới 14 phút của mô hình có thể đổi ngày vào cung
1954-180,1954,Thiên Bình,Libra,180,1954-09-23,20,52,khong,tinh-toan,
1954-210,1954,Bọ Cạp,Scorpio,210,1954-10-24,5,52,khong,tinh-toan,
1954-240,1954,Nhân Mã,Sagittarius,240,1954-11-23,3,8,khong,tinh-toan,
1954-270,1954,Ma Kết,Capricorn,270,1954-12-22,16,18,khong,tinh-toan,
1955-300,1955,Bảo Bình,Aquarius,300,1955-01-21,2,56,khong,tinh-toan,
1955-330,1955,Song Ngư,Pisces,330,1955-02-19,17,15,khong,tinh-toan,
1955-000,1955,Bạch Dương,Aries,0,1955-03-21,16,32,khong,tinh-toan,
1955-030,1955,Kim Ngưu,Taurus,30,1955-04-21,3,55,khong,tinh-toan,
1955-060,1955,Song Tử,Gemini,60,1955-05-22,3,23,khong,tinh-toan,
1955-090,1955,Cự Giải,Cancer,90,1955-06-22,11,31,khong,tinh-toan,
1955-120,1955,Sư Tử,Leo,120,1955-07-23,22,26,khong,tinh-toan,
1955-150,1955,Xử Nữ,Virgo,150,1955-08-24,5,21,khong,tinh-toan,
1955-180,1955,Thiên Bình,Libra,180,1955-09-24,2,41,khong,tinh-toan,
1955-210,1955,Bọ Cạp,Scorpio,210,1955-10-24,11,41,khong,tinh-toan,
