id,hoi,ngon_ngu,nhom,chu_de,bai_dung,tien_ich,nguon,ghi_chu
cauhoi-0001,best day to move house feng shui,en,nhu-cau-that,,,,"Nhật Nguyệt, bộ đánh giá ô tìm kiếm sinh ngày 2026-09-20","không có đáp án đúng, dùng để đo tỉ lệ trả về rỗng"
cauhoi-0002,buffalo and monkey compatibility,en,nhu-cau-that,,,,"Nhật Nguyệt, bộ đánh giá ô tìm kiếm sinh ngày 2026-09-20","không có đáp án đúng, dùng để đo tỉ lệ trả về rỗng"
cauhoi-0003,cat and horse compatibility,en,nhu-cau-that,,,,"Nhật Nguyệt, bộ đánh giá ô tìm kiếm sinh ngày 2026-09-20","không có đáp án đúng, dùng để đo tỉ lệ trả về rỗng"
cauhoi-0004,dog and snake compatibility,en,nhu-cau-that,,,,"Nhật Nguyệt, bộ đánh giá ô tìm kiếm sinh ngày 2026-09-20","không có đáp án đúng, dùng để đo tỉ lệ trả về rỗng"
cauhoi-0005,dragon and pig compatibility,en,nhu-cau-that,,,,"Nhật Nguyệt, bộ đánh giá ô tìm kiếm sinh ngày 2026-09-20","không có đáp án đúng, dùng để đo tỉ lệ trả về rỗng"
cauhoi-0006,five elements generating and controlling cycle,en,nhu-cau-that,,,,"Nhật Nguyệt, bộ đánh giá ô tìm kiếm sinh ngày 2026-09-20","không có đáp án đúng, dùng để đo tỉ lệ trả về rỗng"
cauhoi-0007,goat and tiger compatibility,en,nhu-cau-that,,,,"Nhật Nguyệt, bộ đánh giá ô tìm kiếm sinh ngày 2026-09-20","không có đáp án đúng, dùng để đo tỉ lệ trả về rỗng"
cauhoi-0008,heavenly stems and earthly branches explained,en,nhu-cau-that,,,,"Nhật Nguyệt, bộ đánh giá ô tìm kiếm sinh ngày 2026-09-20","không có đáp án đúng, dùng để đo tỉ lệ trả về rỗng"
cauhoi-0009,horse and rooster compatibility,en,nhu-cau-that,,,,"Nhật Nguyệt, bộ đánh giá ô tìm kiếm sinh ngày 2026-09-20","không có đáp án đúng, dùng để đo tỉ lệ trả về rỗng"
cauhoi-0010,how to read a tarot spread for beginners,en,nhu-cau-that,,,/tien-ich/tarot,"Nhật Nguyệt, bộ đánh giá ô tìm kiếm sinh ngày 2026-09-20",
cauhoi-0011,meaning of the Death tarot card,en,nhu-cau-that,,,,"Nhật Nguyệt, bộ đánh giá ô tìm kiếm sinh ngày 2026-09-20","không có đáp án đúng, dùng để đo tỉ lệ trả về rỗng"
cauhoi-0012,meaning of the Judgement tarot card,en,nhu-cau-that,,,,"Nhật Nguyệt, bộ đánh giá ô tìm kiếm sinh ngày 2026-09-20","không có đáp án đúng, dùng để đo tỉ lệ trả về rỗng"
cauhoi-0013,meaning of the Justice tarot card,en,nhu-cau-that,,,,"Nhật Nguyệt, bộ đánh giá ô tìm kiếm sinh ngày 2026-09-20","không có đáp án đúng, dùng để đo tỉ lệ trả về rỗng"
cauhoi-0014,meaning of the Strength tarot card,en,nhu-cau-that,,,,"Nhật Nguyệt, bộ đánh giá ô tìm kiếm sinh ngày 2026-09-20","không có đáp án đúng, dùng để đo tỉ lệ trả về rỗng"
cauhoi-0015,meaning of the Temperance tarot card,en,nhu-cau-that,,,,"Nhật Nguyệt, bộ đánh giá ô tìm kiếm sinh ngày 2026-09-20","không có đáp án đúng, dùng để đo tỉ lệ trả về rỗng"
cauhoi-0016,meaning of the The Chariot tarot card,en,nhu-cau-that,,,,"Nhật Nguyệt, bộ đánh giá ô tìm kiếm sinh ngày 2026-09-20","không có đáp án đúng, dùng để đo tỉ lệ trả về rỗng"
cauhoi-0017,meaning of the The Devil tarot card,en,nhu-cau-that,,,,"Nhật Nguyệt, bộ đánh giá ô tìm kiếm sinh ngày 2026-09-20","không có đáp án đúng, dùng để đo tỉ lệ trả về rỗng"
cauhoi-0018,meaning of the The Emperor tarot card,en,nhu-cau-that,,,,"Nhật Nguyệt, bộ đánh giá ô tìm kiếm sinh ngày 2026-09-20","không có đáp án đúng, dùng để đo tỉ lệ trả về rỗng"
cauhoi-0019,meaning of the The Empress tarot card,en,nhu-cau-that,,,,"Nhật Nguyệt, bộ đánh giá ô tìm kiếm sinh ngày 2026-09-20","không có đáp án đúng, dùng để đo tỉ lệ trả về rỗng"
cauhoi-0020,meaning of the The Fool tarot card,en,nhu-cau-that,,,,"Nhật Nguyệt, bộ đánh giá ô tìm kiếm sinh ngày 2026-09-20","không có đáp án đúng, dùng để đo tỉ lệ trả về rỗng"
cauhoi-0021,meaning of the The Hanged Man tarot card,en,nhu-cau-that,,,,"Nhật Nguyệt, bộ đánh giá ô tìm kiếm sinh ngày 2026-09-20","không có đáp án đúng, dùng để đo tỉ lệ trả về rỗng"
cauhoi-0022,meaning of the The Hermit tarot card,en,nhu-cau-that,,,,"Nhật Nguyệt, bộ đánh giá ô tìm kiếm sinh ngày 2026-09-20","không có đáp án đúng, dùng để đo tỉ lệ trả về rỗng"
cauhoi-0023,meaning of the The Hierophant tarot card,en,nhu-cau-that,,,,"Nhật Nguyệt, bộ đánh giá ô tìm kiếm sinh ngày 2026-09-20","không có đáp án đúng, dùng để đo tỉ lệ trả về rỗng"
cauhoi-0024,meaning of the The High Priestess tarot card,en,nhu-cau-that,,,,"Nhật Nguyệt, bộ đánh giá ô tìm kiếm sinh ngày 2026-09-20","không có đáp án đúng, dùng để đo tỉ lệ trả về rỗng"
cauhoi-0025,meaning of the The Lovers tarot card,en,nhu-cau-that,,,,"Nhật Nguyệt, bộ đánh giá ô tìm kiếm sinh ngày 2026-09-20","không có đáp án đúng, dùng để đo tỉ lệ trả về rỗng"
cauhoi-0026,meaning of the The Magician tarot card,en,nhu-cau-that,,,,"Nhật Nguyệt, bộ đánh giá ô tìm kiếm sinh ngày 2026-09-20","không có đáp án đúng, dùng để đo tỉ lệ trả về rỗng"
cauhoi-0027,meaning of the The Moon tarot card,en,nhu-cau-that,,,,"Nhật Nguyệt, bộ đánh giá ô tìm kiếm sinh ngày 2026-09-20","không có đáp án đúng, dùng để đo tỉ lệ trả về rỗng"
cauhoi-0028,meaning of the The Star tarot card,en,nhu-cau-that,,,,"Nhật Nguyệt, bộ đánh giá ô tìm kiếm sinh ngày 2026-09-20","không có đáp án đúng, dùng để đo tỉ lệ trả về rỗng"
cauhoi-0029,meaning of the The Sun tarot card,en,nhu-cau-that,,,,"Nhật Nguyệt, bộ đánh giá ô tìm kiếm sinh ngày 2026-09-20","không có đáp án đúng, dùng để đo tỉ lệ trả về rỗng"
cauhoi-0030,meaning of the The Tower tarot card,en,nhu-cau-that,,,,"Nhật Nguyệt, bộ đánh giá ô tìm kiếm sinh ngày 2026-09-20","không có đáp án đúng, dùng để đo tỉ lệ trả về rỗng"
