id,nam_sinh,gioi_tinh,cung_phi,que_menh,nhom_menh,huong_tot,huong_xau,nguon,ghi_chu
1900-nam,1900,Nam,1,Khảm,dong_tu_menh,Đông Nam (Sinh Khí); Đông (Thiên Y); Nam (Diên Niên); Bắc (Phục Vị),Tây (Họa Hại); Tây Bắc (Lục Sát); Đông Bắc (Ngũ Quỷ); Tây Nam (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1900-nu,1900,Nữ,8,Cấn,tay_tu_menh,Tây Nam (Sinh Khí); Tây Bắc (Thiên Y); Tây (Diên Niên); Đông Bắc (Phục Vị),Nam (Họa Hại); Đông Nam (Lục Sát); Bắc (Ngũ Quỷ); Đông (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1901-nam,1901,Nam,9,Ly,dong_tu_menh,Đông (Sinh Khí); Đông Nam (Thiên Y); Bắc (Diên Niên); Nam (Phục Vị),Đông Bắc (Họa Hại); Tây Nam (Lục Sát); Tây (Ngũ Quỷ); Tây Bắc (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1901-nu,1901,Nữ,6,Càn,tay_tu_menh,Tây (Sinh Khí); Đông Bắc (Thiên Y); Tây Nam (Diên Niên); Tây Bắc (Phục Vị),Đông Nam (Họa Hại); Bắc (Lục Sát); Đông (Ngũ Quỷ); Nam (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1902-nam,1902,Nam,8,Cấn,tay_tu_menh,Tây Nam (Sinh Khí); Tây Bắc (Thiên Y); Tây (Diên Niên); Đông Bắc (Phục Vị),Nam (Họa Hại); Đông Nam (Lục Sát); Bắc (Ngũ Quỷ); Đông (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1902-nu,1902,Nữ,7,Đoài,tay_tu_menh,Tây Bắc (Sinh Khí); Tây Nam (Thiên Y); Đông Bắc (Diên Niên); Tây (Phục Vị),Bắc (Họa Hại); Đông (Lục Sát); Nam (Ngũ Quỷ); Đông Nam (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1903-nam,1903,Nam,7,Đoài,tay_tu_menh,Tây Bắc (Sinh Khí); Tây Nam (Thiên Y); Đông Bắc (Diên Niên); Tây (Phục Vị),Bắc (Họa Hại); Đông (Lục Sát); Nam (Ngũ Quỷ); Đông Nam (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1903-nu,1903,Nữ,8,Cấn,tay_tu_menh,Tây Nam (Sinh Khí); Tây Bắc (Thiên Y); Tây (Diên Niên); Đông Bắc (Phục Vị),Nam (Họa Hại); Đông Nam (Lục Sát); Bắc (Ngũ Quỷ); Đông (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1904-nam,1904,Nam,6,Càn,tay_tu_menh,Tây (Sinh Khí); Đông Bắc (Thiên Y); Tây Nam (Diên Niên); Tây Bắc (Phục Vị),Đông Nam (Họa Hại); Bắc (Lục Sát); Đông (Ngũ Quỷ); Nam (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1904-nu,1904,Nữ,9,Ly,dong_tu_menh,Đông (Sinh Khí); Đông Nam (Thiên Y); Bắc (Diên Niên); Nam (Phục Vị),Đông Bắc (Họa Hại); Tây Nam (Lục Sát); Tây (Ngũ Quỷ); Tây Bắc (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
1905-nam,1905,Nam,2,Khôn,tay_tu_menh,Đông Bắc (Sinh Khí); Tây (Thiên Y); Tây Bắc (Diên Niên); Tây Nam (Phục Vị),Đông (Họa Hại); Nam (Lục Sát); Đông Nam (Ngũ Quỷ); Bắc (Tuyệt Mệnh),Bát Trạch Minh Cảnh,
