id,can_chi_ngay,chi_ngay,chi_gio,khung_gio,hoang_dao,nguon,ghi_chu
Mậu Ngọ-Tý,Mậu Ngọ,Ngọ,Tý,23h-1h,co,tinh-toan,
Mậu Ngọ-Sửu,Mậu Ngọ,Ngọ,Sửu,1h-3h,co,tinh-toan,
Mậu Ngọ-Dần,Mậu Ngọ,Ngọ,Dần,3h-5h,khong,tinh-toan,
Mậu Ngọ-Mão,Mậu Ngọ,Ngọ,Mão,5h-7h,co,tinh-toan,
Mậu Ngọ-Thìn,Mậu Ngọ,Ngọ,Thìn,7h-9h,khong,tinh-toan,
Mậu Ngọ-Tỵ,Mậu Ngọ,Ngọ,Tỵ,9h-11h,khong,tinh-toan,
Mậu Ngọ-Ngọ,Mậu Ngọ,Ngọ,Ngọ,11h-13h,co,tinh-toan,
Mậu Ngọ-Mùi,Mậu Ngọ,Ngọ,Mùi,13h-15h,khong,tinh-toan,
Mậu Ngọ-Thân,Mậu Ngọ,Ngọ,Thân,15h-17h,co,tinh-toan,
Mậu Ngọ-Dậu,Mậu Ngọ,Ngọ,Dậu,17h-19h,co,tinh-toan,
Mậu Ngọ-Tuất,Mậu Ngọ,Ngọ,Tuất,19h-21h,khong,tinh-toan,
Mậu Ngọ-Hợi,Mậu Ngọ,Ngọ,Hợi,21h-23h,khong,tinh-toan,
Kỷ Mùi-Tý,Kỷ Mùi,Mùi,Tý,23h-1h,khong,tinh-toan,
Kỷ Mùi-Sửu,Kỷ Mùi,Mùi,Sửu,1h-3h,khong,tinh-toan,
Kỷ Mùi-Dần,Kỷ Mùi,Mùi,Dần,3h-5h,co,tinh-toan,
Kỷ Mùi-Mão,Kỷ Mùi,Mùi,Mão,5h-7h,co,tinh-toan,
Kỷ Mùi-Thìn,Kỷ Mùi,Mùi,Thìn,7h-9h,khong,tinh-toan,
Kỷ Mùi-Tỵ,Kỷ Mùi,Mùi,Tỵ,9h-11h,co,tinh-toan,
Kỷ Mùi-Ngọ,Kỷ Mùi,Mùi,Ngọ,11h-13h,khong,tinh-toan,
Kỷ Mùi-Mùi,Kỷ Mùi,Mùi,Mùi,13h-15h,khong,tinh-toan,
Kỷ Mùi-Thân,Kỷ Mùi,Mùi,Thân,15h-17h,co,tinh-toan,
Kỷ Mùi-Dậu,Kỷ Mùi,Mùi,Dậu,17h-19h,khong,tinh-toan,
Kỷ Mùi-Tuất,Kỷ Mùi,Mùi,Tuất,19h-21h,co,tinh-toan,
Kỷ Mùi-Hợi,Kỷ Mùi,Mùi,Hợi,21h-23h,co,tinh-toan,
Canh Thân-Tý,Canh Thân,Thân,Tý,23h-1h,co,tinh-toan,
Canh Thân-Sửu,Canh Thân,Thân,Sửu,1h-3h,co,tinh-toan,
Canh Thân-Dần,Canh Thân,Thân,Dần,3h-5h,khong,tinh-toan,
Canh Thân-Mão,Canh Thân,Thân,Mão,5h-7h,khong,tinh-toan,
Canh Thân-Thìn,Canh Thân,Thân,Thìn,7h-9h,co,tinh-toan,
Canh Thân-Tỵ,Canh Thân,Thân,Tỵ,9h-11h,co,tinh-toan,
Canh Thân-Ngọ,Canh Thân,Thân,Ngọ,11h-13h,khong,tinh-toan,
Canh Thân-Mùi,Canh Thân,Thân,Mùi,13h-15h,co,tinh-toan,
Canh Thân-Thân,Canh Thân,Thân,Thân,15h-17h,khong,tinh-toan,
Canh Thân-Dậu,Canh Thân,Thân,Dậu,17h-19h,khong,tinh-toan,
Canh Thân-Tuất,Canh Thân,Thân,Tuất,19h-21h,co,tinh-toan,
Canh Thân-Hợi,Canh Thân,Thân,Hợi,21h-23h,khong,tinh-toan,
Tân Dậu-Tý,Tân Dậu,Dậu,Tý,23h-1h,co,tinh-toan,
Tân Dậu-Sửu,Tân Dậu,Dậu,Sửu,1h-3h,khong,tinh-toan,
