id,hoa_giap_a,hoa_giap_b,nap_am_a,nap_am_b,hanh_a,hanh_b,quan_he_ngu_hanh,quan_he_dia_chi,cung_chi,nguon,ghi_chu
Giáp Tý|Giáp Tý,Giáp Tý,Giáp Tý,Hải Trung Kim,Hải Trung Kim,Kim,Kim,tuong_hoa,cung_chi,co,tinh-toan,
Giáp Tý|Ất Sửu,Giáp Tý,Ất Sửu,Hải Trung Kim,Hải Trung Kim,Kim,Kim,tuong_hoa,luc_hop,khong,tinh-toan,
Giáp Tý|Bính Dần,Giáp Tý,Bính Dần,Hải Trung Kim,Lư Trung Hỏa,Kim,Hỏa,tuong_khac,binh_thuong,khong,tinh-toan,
Giáp Tý|Đinh Mão,Giáp Tý,Đinh Mão,Hải Trung Kim,Lư Trung Hỏa,Kim,Hỏa,tuong_khac,tu_hanh_xung,khong,tinh-toan,
Giáp Tý|Mậu Thìn,Giáp Tý,Mậu Thìn,Hải Trung Kim,Đại Lâm Mộc,Kim,Mộc,tuong_khac,tam_hop,khong,tinh-toan,
Giáp Tý|Kỷ Tỵ,Giáp Tý,Kỷ Tỵ,Hải Trung Kim,Đại Lâm Mộc,Kim,Mộc,tuong_khac,binh_thuong,khong,tinh-toan,
Giáp Tý|Canh Ngọ,Giáp Tý,Canh Ngọ,Hải Trung Kim,Lộ Bàng Thổ,Kim,Thổ,tuong_sinh,tu_hanh_xung,khong,tinh-toan,
Giáp Tý|Tân Mùi,Giáp Tý,Tân Mùi,Hải Trung Kim,Lộ Bàng Thổ,Kim,Thổ,tuong_sinh,luc_hai,khong,tinh-toan,
Giáp Tý|Nhâm Thân,Giáp Tý,Nhâm Thân,Hải Trung Kim,Kiếm Phong Kim,Kim,Kim,tuong_hoa,tam_hop,khong,tinh-toan,
Giáp Tý|Quý Dậu,Giáp Tý,Quý Dậu,Hải Trung Kim,Kiếm Phong Kim,Kim,Kim,tuong_hoa,tu_hanh_xung,khong,tinh-toan,
Giáp Tý|Giáp Tuất,Giáp Tý,Giáp Tuất,Hải Trung Kim,Sơn Đầu Hỏa,Kim,Hỏa,tuong_khac,binh_thuong,khong,tinh-toan,
Giáp Tý|Ất Hợi,Giáp Tý,Ất Hợi,Hải Trung Kim,Sơn Đầu Hỏa,Kim,Hỏa,tuong_khac,binh_thuong,khong,tinh-toan,
Giáp Tý|Bính Tý,Giáp Tý,Bính Tý,Hải Trung Kim,Giản Hạ Thủy,Kim,Thủy,tuong_sinh,cung_chi,co,tinh-toan,
Giáp Tý|Đinh Sửu,Giáp Tý,Đinh Sửu,Hải Trung Kim,Giản Hạ Thủy,Kim,Thủy,tuong_sinh,luc_hop,khong,tinh-toan,
Giáp Tý|Mậu Dần,Giáp Tý,Mậu Dần,Hải Trung Kim,Thành Đầu Thổ,Kim,Thổ,tuong_sinh,binh_thuong,khong,tinh-toan,
Giáp Tý|Kỷ Mão,Giáp Tý,Kỷ Mão,Hải Trung Kim,Thành Đầu Thổ,Kim,Thổ,tuong_sinh,tu_hanh_xung,khong,tinh-toan,
Giáp Tý|Canh Thìn,Giáp Tý,Canh Thìn,Hải Trung Kim,Bạch Lạp Kim,Kim,Kim,tuong_hoa,tam_hop,khong,tinh-toan,
Giáp Tý|Tân Tỵ,Giáp Tý,Tân Tỵ,Hải Trung Kim,Bạch Lạp Kim,Kim,Kim,tuong_hoa,binh_thuong,khong,tinh-toan,
Giáp Tý|Nhâm Ngọ,Giáp Tý,Nhâm Ngọ,Hải Trung Kim,Dương Liễu Mộc,Kim,Mộc,tuong_khac,tu_hanh_xung,khong,tinh-toan,
Giáp Tý|Quý Mùi,Giáp Tý,Quý Mùi,Hải Trung Kim,Dương Liễu Mộc,Kim,Mộc,tuong_khac,luc_hai,khong,tinh-toan,
Giáp Tý|Giáp Thân,Giáp Tý,Giáp Thân,Hải Trung Kim,Tuyền Trung Thủy,Kim,Thủy,tuong_sinh,tam_hop,khong,tinh-toan,
Giáp Tý|Ất Dậu,Giáp Tý,Ất Dậu,Hải Trung Kim,Tuyền Trung Thủy,Kim,Thủy,tuong_sinh,tu_hanh_xung,khong,tinh-toan,
Giáp Tý|Bính Tuất,Giáp Tý,Bính Tuất,Hải Trung Kim,Ốc Thượng Thổ,Kim,Thổ,tuong_sinh,binh_thuong,khong,tinh-toan,
Giáp Tý|Đinh Hợi,Giáp Tý,Đinh Hợi,Hải Trung Kim,Ốc Thượng Thổ,Kim,Thổ,tuong_sinh,binh_thuong,khong,tinh-toan,
Giáp Tý|Mậu Tý,Giáp Tý,Mậu Tý,Hải Trung Kim,Tích Lịch Hỏa,Kim,Hỏa,tuong_khac,cung_chi,co,tinh-toan,
Giáp Tý|Kỷ Sửu,Giáp Tý,Kỷ Sửu,Hải Trung Kim,Tích Lịch Hỏa,Kim,Hỏa,tuong_khac,luc_hop,khong,tinh-toan,
