id,le_hoi,le_hoi_en,nam,ngay_duong,thu,loai_ngay,ngay_am,ngay_nghi,nguon,ghi_chu
cho-vieng-2026,Chợ Viềng,Viềng Market,2026,2026-02-24,thứ Ba,lunar,8/1,khong,bien-tap va tinh-toan,
cho-vieng-2027,Chợ Viềng,Viềng Market,2027,2027-02-13,thứ Bảy,lunar,8/1,khong,bien-tap va tinh-toan,
cho-vieng-2028,Chợ Viềng,Viềng Market,2028,2028-02-02,thứ Tư,lunar,8/1,khong,bien-tap va tinh-toan,
cho-vieng-2029,Chợ Viềng,Viềng Market,2029,2029-02-20,thứ Ba,lunar,8/1,khong,bien-tap va tinh-toan,
cho-vieng-2030,Chợ Viềng,Viềng Market,2030,2030-02-09,thứ Bảy,lunar,8/1,khong,bien-tap va tinh-toan,
dai-le-hoi-yen-dieu-tri-cung-2026,Đại lễ Hội Yến Diêu Trì Cung,Dieu Tri Palace Banquet (Cao Dai Mid-Autumn Grand Ceremony),2026,2026-09-25,thứ Sáu,lunar,15/8,khong,bien-tap va tinh-toan,
dai-le-hoi-yen-dieu-tri-cung-2027,Đại lễ Hội Yến Diêu Trì Cung,Dieu Tri Palace Banquet (Cao Dai Mid-Autumn Grand Ceremony),2027,2027-09-15,thứ Tư,lunar,15/8,khong,bien-tap va tinh-toan,
dai-le-hoi-yen-dieu-tri-cung-2028,Đại lễ Hội Yến Diêu Trì Cung,Dieu Tri Palace Banquet (Cao Dai Mid-Autumn Grand Ceremony),2028,2028-10-03,thứ Ba,lunar,15/8,khong,bien-tap va tinh-toan,
dai-le-hoi-yen-dieu-tri-cung-2029,Đại lễ Hội Yến Diêu Trì Cung,Dieu Tri Palace Banquet (Cao Dai Mid-Autumn Grand Ceremony),2029,2029-09-22,thứ Bảy,lunar,15/8,khong,bien-tap va tinh-toan,
dai-le-hoi-yen-dieu-tri-cung-2030,Đại lễ Hội Yến Diêu Trì Cung,Dieu Tri Palace Banquet (Cao Dai Mid-Autumn Grand Ceremony),2030,2030-09-12,thứ Năm,lunar,15/8,khong,bien-tap va tinh-toan,
gio-to-hung-vuong-2026,Giỗ Tổ Hùng Vương,Hùng Kings' Commemoration Day,2026,2026-04-26,Chủ Nhật,lunar,10/3,co,bien-tap va tinh-toan,
gio-to-hung-vuong-2027,Giỗ Tổ Hùng Vương,Hùng Kings' Commemoration Day,2027,2027-04-16,thứ Sáu,lunar,10/3,co,bien-tap va tinh-toan,
gio-to-hung-vuong-2028,Giỗ Tổ Hùng Vương,Hùng Kings' Commemoration Day,2028,2028-04-04,thứ Ba,lunar,10/3,co,bien-tap va tinh-toan,
gio-to-hung-vuong-2029,Giỗ Tổ Hùng Vương,Hùng Kings' Commemoration Day,2029,2029-04-23,thứ Hai,lunar,10/3,co,bien-tap va tinh-toan,
gio-to-hung-vuong-2030,Giỗ Tổ Hùng Vương,Hùng Kings' Commemoration Day,2030,2030-04-12,thứ Sáu,lunar,10/3,co,bien-tap va tinh-toan,
hoi-den-va-2026,Hội Thu đền Và,Và Temple Autumn Festival,2026,2026-10-24,thứ Bảy,lunar,15/9,khong,bien-tap va tinh-toan,
hoi-den-va-2027,Hội Thu đền Và,Và Temple Autumn Festival,2027,2027-10-14,thứ Năm,lunar,15/9,khong,bien-tap va tinh-toan,
hoi-den-va-2028,Hội Thu đền Và,Và Temple Autumn Festival,2028,2028-11-01,thứ Tư,lunar,15/9,khong,bien-tap va tinh-toan,
hoi-den-va-2029,Hội Thu đền Và,Và Temple Autumn Festival,2029,2029-10-22,thứ Hai,lunar,15/9,khong,bien-tap va tinh-toan,
hoi-den-va-2030,Hội Thu đền Và,Và Temple Autumn Festival,2030,2030-10-11,thứ Sáu,lunar,15/9,khong,bien-tap va tinh-toan,
hoi-giong-den-phu-dong-2026,Hội Gióng đền Phù Đổng,Gióng Festival at Phù Đổng Temple,2026,2026-05-25,thứ Hai,lunar,9/4,khong,bien-tap va tinh-toan,
hoi-giong-den-phu-dong-2027,Hội Gióng đền Phù Đổng,Gióng Festival at Phù Đổng Temple,2027,2027-05-14,thứ Sáu,lunar,9/4,khong,bien-tap va tinh-toan,
hoi-giong-den-phu-dong-2028,Hội Gióng đền Phù Đổng,Gióng Festival at Phù Đổng Temple,2028,2028-05-03,thứ Tư,lunar,9/4,khong,bien-tap va tinh-toan,
hoi-giong-den-phu-dong-2029,Hội Gióng đền Phù Đổng,Gióng Festival at Phù Đổng Temple,2029,2029-05-21,thứ Hai,lunar,9/4,khong,bien-tap va tinh-toan,
hoi-giong-den-phu-dong-2030,Hội Gióng đền Phù Đổng,Gióng Festival at Phù Đổng Temple,2030,2030-05-10,thứ Sáu,lunar,9/4,khong,bien-tap va tinh-toan,
hoi-giong-den-soc-2026,Hội Gióng đền Sóc,"Gióng Festival, Sóc Temple",2026,2026-02-22,Chủ Nhật,lunar,6/1,khong,bien-tap va tinh-toan,
hoi-giong-den-soc-2027,Hội Gióng đền Sóc,"Gióng Festival, Sóc Temple",2027,2027-02-11,thứ Năm,lunar,6/1,khong,bien-tap va tinh-toan,
hoi-giong-den-soc-2028,Hội Gióng đền Sóc,"Gióng Festival, Sóc Temple",2028,2028-01-31,thứ Hai,lunar,6/1,khong,bien-tap va tinh-toan,
hoi-giong-den-soc-2029,Hội Gióng đền Sóc,"Gióng Festival, Sóc Temple",2029,2029-02-18,Chủ Nhật,lunar,6/1,khong,bien-tap va tinh-toan,
hoi-giong-den-soc-2030,Hội Gióng đền Sóc,"Gióng Festival, Sóc Temple",2030,2030-02-07,thứ Năm,lunar,6/1,khong,bien-tap va tinh-toan,
hoi-hang-pinh-2026,Hội Háng Pỉnh,Hang Pinh Mid-Autumn Cake Market (Lang Son),2026,2026-09-22,thứ Ba,lunar,12/8,khong,bien-tap va tinh-toan,
hoi-hang-pinh-2027,Hội Háng Pỉnh,Hang Pinh Mid-Autumn Cake Market (Lang Son),2027,2027-09-12,Chủ Nhật,lunar,12/8,khong,bien-tap va tinh-toan,
hoi-hang-pinh-2028,Hội Háng Pỉnh,Hang Pinh Mid-Autumn Cake Market (Lang Son),2028,2028-09-30,thứ Bảy,lunar,12/8,khong,bien-tap va tinh-toan,
hoi-hang-pinh-2029,Hội Háng Pỉnh,Hang Pinh Mid-Autumn Cake Market (Lang Son),2029,2029-09-19,thứ Tư,lunar,12/8,khong,bien-tap va tinh-toan,
hoi-hang-pinh-2030,Hội Háng Pỉnh,Hang Pinh Mid-Autumn Cake Market (Lang Son),2030,2030-09-09,thứ Hai,lunar,12/8,khong,bien-tap va tinh-toan,
hoi-lim-2026,Hội Lim,Hội Lim (Lim Festival),2026,2026-03-01,Chủ Nhật,lunar,13/1,khong,bien-tap va tinh-toan,
hoi-lim-2027,Hội Lim,Hội Lim (Lim Festival),2027,2027-02-18,thứ Năm,lunar,13/1,khong,bien-tap va tinh-toan,
hoi-lim-2028,Hội Lim,Hội Lim (Lim Festival),2028,2028-02-07,thứ Hai,lunar,13/1,khong,bien-tap va tinh-toan,
hoi-lim-2029,Hội Lim,Hội Lim (Lim Festival),2029,2029-02-25,Chủ Nhật,lunar,13/1,khong,bien-tap va tinh-toan,
hoi-lim-2030,Hội Lim,Hội Lim (Lim Festival),2030,2030-02-14,thứ Năm,lunar,13/1,khong,bien-tap va tinh-toan,
hoi-vat-lang-sinh-2026,Hội vật làng Sình,Làng Sình Wrestling Festival,2026,2026-02-26,thứ Năm,lunar,10/1,khong,bien-tap va tinh-toan,
hoi-vat-lang-sinh-2027,Hội vật làng Sình,Làng Sình Wrestling Festival,2027,2027-02-15,thứ Hai,lunar,10/1,khong,bien-tap va tinh-toan,
hoi-vat-lang-sinh-2028,Hội vật làng Sình,Làng Sình Wrestling Festival,2028,2028-02-04,thứ Sáu,lunar,10/1,khong,bien-tap va tinh-toan,
hoi-vat-lang-sinh-2029,Hội vật làng Sình,Làng Sình Wrestling Festival,2029,2029-02-22,thứ Năm,lunar,10/1,khong,bien-tap va tinh-toan,
hoi-vat-lang-sinh-2030,Hội vật làng Sình,Làng Sình Wrestling Festival,2030,2030-02-11,thứ Hai,lunar,10/1,khong,bien-tap va tinh-toan,
