id,dan_toc,ten_khac,le_hoi,thoi_gian,dia_ban,y_nghia,noi_cu_tru,nhom_ngon_ngu,tin_nguong,bai_nguon,nguon,ghi_chu
dantoc-001,Ba Na,,Hội làng,,nhà rông,dịp cộng đồng làng quây quần,"Gia Lai, Kon Tum và miền tây của Bình Định, Phú Yên và Khánh Hoà","Môn-Khơ Me, ngữ hệ Nam Á","Nghi lễ là một phần quan trọng của sinh hoạt cộng đồng, gắn chặt với nhà rông và với đời sống của làng",dan-toc-ba-na-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-45b3e1,"Nhật Nguyệt, rút từ bài dan-toc-ba-na-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-45b3e1",
dantoc-002,Bru - Vân Kiều,,lễ Khơi,,,để người vợ chính thức được coi là thành viên dòng họ nhà chồng,"vùng Trường Sơn - Tây Nguyên, thuộc miền tây các tỉnh Quảng Bình, Quảng Trị và Thừa Thiên Huế","nhóm ngôn ngữ Môn - Khơ Me, ngữ hệ Nam Á","thờ cúng tổ tiên, tin vào các thần linh gọi là Yang",dan-toc-bru-van-kieu-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-689e2c,"Nhật Nguyệt, rút từ bài dan-toc-bru-van-kieu-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-689e2c",
dantoc-003,Brâu,,Lễ cưới,,nhà gái,,"làng Đắc Mế, xã Bờ Y, huyện Ngọc Hồi, tỉnh Kon Tum","nhóm ngôn ngữ Môn-Khơ Me, ngữ hệ Nam Á","thờ cúng các thần linh qua các nghi lễ vòng đời và nghi lễ liên quan đến nhà ở, mùa vụ",dan-toc-brau-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-va-le-hoi-chinh-8faaae,"Nhật Nguyệt, rút từ bài dan-toc-brau-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-va-le-hoi-chinh-8faaae",
dantoc-004,Brâu,,Lễ lên nhà mới,khi nhà được khánh thành,,"cầu thần linh chứng giám, gắn việc dựng nhà với quan hệ cộng đồng","làng Đắc Mế, xã Bờ Y, huyện Ngọc Hồi, tỉnh Kon Tum","nhóm ngôn ngữ Môn-Khơ Me, ngữ hệ Nam Á","thờ cúng các thần linh qua các nghi lễ vòng đời và nghi lễ liên quan đến nhà ở, mùa vụ",dan-toc-brau-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-va-le-hoi-chinh-8faaae,"Nhật Nguyệt, rút từ bài dan-toc-brau-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-va-le-hoi-chinh-8faaae",
dantoc-005,Brâu,,Lễ ăn mừng cơm mới,sau ngày thu hoạch,,được xem là Tết của người Brâu,"làng Đắc Mế, xã Bờ Y, huyện Ngọc Hồi, tỉnh Kon Tum","nhóm ngôn ngữ Môn-Khơ Me, ngữ hệ Nam Á","thờ cúng các thần linh qua các nghi lễ vòng đời và nghi lễ liên quan đến nhà ở, mùa vụ",dan-toc-brau-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-va-le-hoi-chinh-8faaae,"Nhật Nguyệt, rút từ bài dan-toc-brau-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-va-le-hoi-chinh-8faaae",
dantoc-006,Brâu,,Tang lễ,khi có người qua đời,,,"làng Đắc Mế, xã Bờ Y, huyện Ngọc Hồi, tỉnh Kon Tum","nhóm ngôn ngữ Môn-Khơ Me, ngữ hệ Nam Á","thờ cúng các thần linh qua các nghi lễ vòng đời và nghi lễ liên quan đến nhà ở, mùa vụ",dan-toc-brau-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-va-le-hoi-chinh-8faaae,"Nhật Nguyệt, rút từ bài dan-toc-brau-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-va-le-hoi-chinh-8faaae",
dantoc-007,Bố Y,,30 tháng giêng,Tháng 1,,,Quản Bạ (Hà Giang) và Mường Khương (Lào Cai),"Nhóm Bố Y nói ngôn ngữ Tày - Thái, thuộc ngữ hệ Thái - Ka Đai; nhóm Tu Dí nói ngôn ngữ Hán, thuộc ngữ hệ Hán - Tạng","Trên bàn thờ đặt ba bát hương thờ trời, táo quân và tổ tiên; dưới gầm bàn thờ đặt một bát hương thờ thổ địa",dan-toc-bo-y-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-b51ed9,"Nhật Nguyệt, rút từ bài dan-toc-bo-y-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-b51ed9",
dantoc-008,Bố Y,,Cơm mới,Tháng 8 hoặc tháng 9 âm lịch,,"Gắn với chu kỳ nông nghiệp, thường được tổ chức sau khi thu hoạch",Quản Bạ (Hà Giang) và Mường Khương (Lào Cai),"Nhóm Bố Y nói ngôn ngữ Tày - Thái, thuộc ngữ hệ Thái - Ka Đai; nhóm Tu Dí nói ngôn ngữ Hán, thuộc ngữ hệ Hán - Tạng","Trên bàn thờ đặt ba bát hương thờ trời, táo quân và tổ tiên; dưới gầm bàn thờ đặt một bát hương thờ thổ địa",dan-toc-bo-y-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-b51ed9,"Nhật Nguyệt, rút từ bài dan-toc-bo-y-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-b51ed9",
dantoc-009,Bố Y,,Hàn thực,Theo lịch tiết,,,Quản Bạ (Hà Giang) và Mường Khương (Lào Cai),"Nhóm Bố Y nói ngôn ngữ Tày - Thái, thuộc ngữ hệ Thái - Ka Đai; nhóm Tu Dí nói ngôn ngữ Hán, thuộc ngữ hệ Hán - Tạng","Trên bàn thờ đặt ba bát hương thờ trời, táo quân và tổ tiên; dưới gầm bàn thờ đặt một bát hương thờ thổ địa",dan-toc-bo-y-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-b51ed9,"Nhật Nguyệt, rút từ bài dan-toc-bo-y-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-b51ed9",
dantoc-010,Bố Y,,Mùng 6 tháng 6,Tháng 6,,,Quản Bạ (Hà Giang) và Mường Khương (Lào Cai),"Nhóm Bố Y nói ngôn ngữ Tày - Thái, thuộc ngữ hệ Thái - Ka Đai; nhóm Tu Dí nói ngôn ngữ Hán, thuộc ngữ hệ Hán - Tạng","Trên bàn thờ đặt ba bát hương thờ trời, táo quân và tổ tiên; dưới gầm bàn thờ đặt một bát hương thờ thổ địa",dan-toc-bo-y-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-b51ed9,"Nhật Nguyệt, rút từ bài dan-toc-bo-y-noi-cu-tru-tieng-noi-tap-tuc-tho-cung-le-hoi-b51ed9",
