id,ngay_duong,ngay_am,thang_am,nam_am,thang_nhuan,can_chi_ngay,can_chi_nam,tiet_khi,truc,ngay_hoang_dao,nhi_thap_bat_tu,nguon,ghi_chu
1900-01-01,1900-01-01,1,12,1899,khong,Giáp Tuất,Kỷ Hợi,Đông Chí,Khai,khong,Tâm,tinh-toan,
1900-01-02,1900-01-02,2,12,1899,khong,Ất Hợi,Kỷ Hợi,Đông Chí,Bế,khong,Vĩ,tinh-toan,
1900-01-03,1900-01-03,3,12,1899,khong,Bính Tý,Kỷ Hợi,Đông Chí,Kiến,co,Cơ,tinh-toan,
1900-01-04,1900-01-04,4,12,1899,khong,Đinh Sửu,Kỷ Hợi,Đông Chí,Trừ,co,Đẩu,tinh-toan,
1900-01-05,1900-01-05,5,12,1899,khong,Mậu Dần,Kỷ Hợi,Đông Chí,Mãn,khong,Ngưu,tinh-toan,
1900-01-06,1900-01-06,6,12,1899,khong,Kỷ Mão,Kỷ Hợi,Tiểu Hàn,Mãn,co,Nữ,tinh-toan,
1900-01-07,1900-01-07,7,12,1899,khong,Canh Thìn,Kỷ Hợi,Tiểu Hàn,Bình,khong,Hư,tinh-toan,
1900-01-08,1900-01-08,8,12,1899,khong,Tân Tỵ,Kỷ Hợi,Tiểu Hàn,Định,co,Nguy,tinh-toan,
1900-01-09,1900-01-09,9,12,1899,khong,Nhâm Ngọ,Kỷ Hợi,Tiểu Hàn,Chấp,khong,Thất,tinh-toan,
1900-01-10,1900-01-10,10,12,1899,khong,Quý Mùi,Kỷ Hợi,Tiểu Hàn,Phá,khong,Bích,tinh-toan,
1900-01-11,1900-01-11,11,12,1899,khong,Giáp Thân,Kỷ Hợi,Tiểu Hàn,Nguy,co,Khuê,tinh-toan,
1900-01-12,1900-01-12,12,12,1899,khong,Ất Dậu,Kỷ Hợi,Tiểu Hàn,Thành,khong,Lâu,tinh-toan,
1900-01-13,1900-01-13,13,12,1899,khong,Bính Tuất,Kỷ Hợi,Tiểu Hàn,Thu,co,Vị,tinh-toan,
1900-01-14,1900-01-14,14,12,1899,khong,Đinh Hợi,Kỷ Hợi,Tiểu Hàn,Khai,co,Mão,tinh-toan,
1900-01-15,1900-01-15,15,12,1899,khong,Mậu Tý,Kỷ Hợi,Tiểu Hàn,Bế,khong,Tất,tinh-toan,
1900-01-16,1900-01-16,16,12,1899,khong,Kỷ Sửu,Kỷ Hợi,Tiểu Hàn,Kiến,khong,Chủy,tinh-toan,
1900-01-17,1900-01-17,17,12,1899,khong,Canh Dần,Kỷ Hợi,Tiểu Hàn,Trừ,co,Sâm,tinh-toan,
1900-01-18,1900-01-18,18,12,1899,khong,Tân Mão,Kỷ Hợi,Tiểu Hàn,Mãn,co,Tỉnh,tinh-toan,
1900-01-19,1900-01-19,19,12,1899,khong,Nhâm Thìn,Kỷ Hợi,Tiểu Hàn,Bình,khong,Quỷ,tinh-toan,
1900-01-20,1900-01-20,20,12,1899,khong,Quý Tỵ,Kỷ Hợi,Tiểu Hàn,Định,co,Liễu,tinh-toan,
1900-01-21,1900-01-21,21,12,1899,khong,Giáp Ngọ,Kỷ Hợi,Đại Hàn,Chấp,khong,Tinh,tinh-toan,
1900-01-22,1900-01-22,22,12,1899,khong,Ất Mùi,Kỷ Hợi,Đại Hàn,Phá,khong,Trương,tinh-toan,
1900-01-23,1900-01-23,23,12,1899,khong,Bính Thân,Kỷ Hợi,Đại Hàn,Nguy,co,Dực,tinh-toan,
1900-01-24,1900-01-24,24,12,1899,khong,Đinh Dậu,Kỷ Hợi,Đại Hàn,Thành,khong,Chẩn,tinh-toan,
