id,nam,ten,ten_en,kinh_do,ngay_bat_dau,gio,phut,sat_nua_dem,nguon,ghi_chu
1900-19,1900,Tiểu Hàn,Minor Cold,285,1900-01-06,1,5,khong,tinh-toan,
1900-20,1900,Đại Hàn,Major Cold,300,1900-01-20,18,30,khong,tinh-toan,
1900-21,1900,Lập Xuân,Start of Spring,315,1900-02-04,12,54,khong,tinh-toan,
1900-22,1900,Vũ Thủy,Rain Water,330,1900-02-19,8,59,khong,tinh-toan,
1900-23,1900,Kinh Trập,Awakening of Insects,345,1900-03-06,7,24,khong,tinh-toan,
1900-00,1900,Xuân Phân,Vernal Equinox,0,1900-03-21,8,37,khong,tinh-toan,
1900-01,1900,Thanh Minh,Clear and Bright,15,1900-04-05,12,54,khong,tinh-toan,
1900-02,1900,Cốc Vũ,Grain Rain,30,1900-04-20,20,24,khong,tinh-toan,
1900-03,1900,Lập Hạ,Start of Summer,45,1900-05-06,6,56,khong,tinh-toan,
1900-04,1900,Tiểu Mãn,Grain Buds,60,1900-05-21,20,13,khong,tinh-toan,
1900-05,1900,Mang Chủng,Grain in Ear,75,1900-06-06,11,39,khong,tinh-toan,
1900-06,1900,Hạ Chí,Summer Solstice,90,1900-06-22,4,35,khong,tinh-toan,
1900-07,1900,Tiểu Thử,Minor Heat,105,1900-07-07,22,9,khong,tinh-toan,
1900-08,1900,Đại Thử,Major Heat,120,1900-07-23,15,30,khong,tinh-toan,
1900-09,1900,Lập Thu,Start of Autumn,135,1900-08-08,7,46,khong,tinh-toan,
1900-10,1900,Xử Thử,End of Heat,150,1900-08-23,22,12,khong,tinh-toan,
1900-11,1900,Bạch Lộ,White Dew,165,1900-09-08,10,10,khong,tinh-toan,
1900-12,1900,Thu Phân,Autumnal Equinox,180,1900-09-23,19,12,khong,tinh-toan,
1900-13,1900,Hàn Lộ,Cold Dew,195,1900-10-09,1,5,khong,tinh-toan,
1900-14,1900,Sương Giáng,Frost Descent,210,1900-10-24,3,48,khong,tinh-toan,
1900-15,1900,Lập Đông,Start of Winter,225,1900-11-08,3,33,khong,tinh-toan,
1900-16,1900,Tiểu Tuyết,Minor Snow,240,1900-11-23,0,44,khong,tinh-toan,
1900-17,1900,Đại Tuyết,Major Snow,255,1900-12-07,19,53,khong,tinh-toan,
1900-18,1900,Đông Chí,Winter Solstice,270,1900-12-22,13,42,khong,tinh-toan,
1901-19,1901,Tiểu Hàn,Minor Cold,285,1901-01-06,6,55,khong,tinh-toan,
1901-20,1901,Đại Hàn,Major Cold,300,1901-01-21,0,20,co,tinh-toan,Sát nửa đêm: sai số 4 tới 14 phút của mô hình có thể đổi ngày bắt đầu
1901-21,1901,Lập Xuân,Start of Spring,315,1901-02-04,18,43,khong,tinh-toan,
1901-22,1901,Vũ Thủy,Rain Water,330,1901-02-19,14,48,khong,tinh-toan,
1901-23,1901,Kinh Trập,Awakening of Insects,345,1901-03-06,13,13,khong,tinh-toan,
1901-00,1901,Xuân Phân,Vernal Equinox,0,1901-03-21,14,25,khong,tinh-toan,
1901-01,1901,Thanh Minh,Clear and Bright,15,1901-04-05,18,43,khong,tinh-toan,
1901-02,1901,Cốc Vũ,Grain Rain,30,1901-04-21,2,12,khong,tinh-toan,
1901-03,1901,Lập Hạ,Start of Summer,45,1901-05-06,12,45,khong,tinh-toan,
1901-04,1901,Tiểu Mãn,Grain Buds,60,1901-05-22,2,1,khong,tinh-toan,
1901-05,1901,Mang Chủng,Grain in Ear,75,1901-06-06,17,27,khong,tinh-toan,
1901-06,1901,Hạ Chí,Summer Solstice,90,1901-06-22,10,23,khong,tinh-toan,
1901-07,1901,Tiểu Thử,Minor Heat,105,1901-07-08,3,57,khong,tinh-toan,
1901-08,1901,Đại Thử,Major Heat,120,1901-07-23,21,18,khong,tinh-toan,
1901-09,1901,Lập Thu,Start of Autumn,135,1901-08-08,13,34,khong,tinh-toan,
1901-10,1901,Xử Thử,End of Heat,150,1901-08-24,4,1,khong,tinh-toan,
1901-11,1901,Bạch Lộ,White Dew,165,1901-09-08,15,58,khong,tinh-toan,
1901-12,1901,Thu Phân,Autumnal Equinox,180,1901-09-24,1,0,khong,tinh-toan,
1901-13,1901,Hàn Lộ,Cold Dew,195,1901-10-09,6,54,khong,tinh-toan,
1901-14,1901,Sương Giáng,Frost Descent,210,1901-10-24,9,37,khong,tinh-toan,
1901-15,1901,Lập Đông,Start of Winter,225,1901-11-08,9,22,khong,tinh-toan,
1901-16,1901,Tiểu Tuyết,Minor Snow,240,1901-11-23,6,33,khong,tinh-toan,
1901-17,1901,Đại Tuyết,Major Snow,255,1901-12-08,1,43,khong,tinh-toan,
1901-18,1901,Đông Chí,Winter Solstice,270,1901-12-22,19,31,khong,tinh-toan,
1902-19,1902,Tiểu Hàn,Minor Cold,285,1902-01-06,12,44,khong,tinh-toan,
1902-20,1902,Đại Hàn,Major Cold,300,1902-01-21,6,9,khong,tinh-toan,
1902-21,1902,Lập Xuân,Start of Spring,315,1902-02-05,0,32,khong,tinh-toan,
1902-22,1902,Vũ Thủy,Rain Water,330,1902-02-19,20,38,khong,tinh-toan,
