id,ngay_duong,ngay_am,thang_am,thang_nhuan,can_chi_ngay,tam_nuong,nguyet_ky,sat_chu_am,sat_chu_duong,tho_tu,tho_tu_theo_chi,so_phep_pham,nguon,ghi_chu
2026-01-01,2026-01-01,13,11,khong,Ất Hợi,co,khong,khong,khong,khong,khong,1,tinh-toan,
2026-01-02,2026-01-02,14,11,khong,Bính Tý,khong,co,khong,khong,khong,khong,1,tinh-toan,
2026-01-03,2026-01-03,15,11,khong,Đinh Sửu,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-01-04,2026-01-04,16,11,khong,Mậu Dần,khong,khong,co,khong,khong,khong,1,tinh-toan,
2026-01-05,2026-01-05,17,11,khong,Kỷ Mão,khong,khong,khong,khong,khong,co,0,tinh-toan,
2026-01-06,2026-01-06,18,11,khong,Canh Thìn,co,khong,khong,khong,khong,khong,1,tinh-toan,
2026-01-07,2026-01-07,19,11,khong,Tân Tỵ,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-01-08,2026-01-08,20,11,khong,Nhâm Ngọ,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-01-09,2026-01-09,21,11,khong,Quý Mùi,khong,khong,khong,co,khong,khong,1,tinh-toan,
2026-01-10,2026-01-10,22,11,khong,Giáp Thân,co,khong,khong,khong,khong,khong,1,tinh-toan,
2026-01-11,2026-01-11,23,11,khong,Ất Dậu,khong,co,khong,khong,khong,khong,1,tinh-toan,
2026-01-12,2026-01-12,24,11,khong,Bính Tuất,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-01-13,2026-01-13,25,11,khong,Đinh Hợi,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-01-14,2026-01-14,26,11,khong,Mậu Tý,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-01-15,2026-01-15,27,11,khong,Kỷ Sửu,co,khong,khong,khong,khong,khong,1,tinh-toan,
2026-01-16,2026-01-16,28,11,khong,Canh Dần,khong,khong,co,khong,khong,khong,1,tinh-toan,
2026-01-17,2026-01-17,29,11,khong,Tân Mão,khong,khong,khong,khong,co,co,1,tinh-toan,
2026-01-18,2026-01-18,30,11,khong,Nhâm Thìn,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-01-19,2026-01-19,1,12,khong,Quý Tỵ,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-01-20,2026-01-20,2,12,khong,Giáp Ngọ,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-01-21,2026-01-21,3,12,khong,Ất Mùi,co,khong,khong,khong,khong,khong,1,tinh-toan,
2026-01-22,2026-01-22,4,12,khong,Bính Thân,khong,khong,khong,khong,khong,khong,0,tinh-toan,
2026-01-23,2026-01-23,5,12,khong,Đinh Dậu,khong,co,khong,khong,khong,co,1,tinh-toan,
