id,nam_sinh,nam_xem,tuoi_mu,pham_tam_tai,chi_tam_tai,pham_kim_lau,ten_kim_lau,pham_hoang_oc,cung_hoang_oc,phep_tinh_kim_lau,nguon,ghi_chu
1940-2020,1940,2020,81,khong,Dần; Mão; Thìn,khong,,co,Tam Địa Sát,"81 chia 9 dư 0 - chỉ dư 1, 3, 6 hoặc 8 mới phạm",tinh-toan,Năm sinh là năm dương; ai sinh trước Tết thì lùi một năm âm khi xét Tam Tai
1940-2021,1940,2021,82,khong,Dần; Mão; Thìn,co,Kim Lâu Thân,khong,Tứ Tấn Tài,"82 chia 9 dư 1 - dư 1, 3, 6 hoặc 8 là phạm, dư 1 ứng với Kim Lâu Thân",tinh-toan,Năm sinh là năm dương; ai sinh trước Tết thì lùi một năm âm khi xét Tam Tai
1940-2022,1940,2022,83,co,Dần; Mão; Thìn,khong,,co,Ngũ Thọ Tử,"83 chia 9 dư 2 - chỉ dư 1, 3, 6 hoặc 8 mới phạm",tinh-toan,Năm sinh là năm dương; ai sinh trước Tết thì lùi một năm âm khi xét Tam Tai
1940-2023,1940,2023,84,co,Dần; Mão; Thìn,co,Kim Lâu Thê,co,Lục Hoang Ốc,"84 chia 9 dư 3 - dư 1, 3, 6 hoặc 8 là phạm, dư 3 ứng với Kim Lâu Thê",tinh-toan,Năm sinh là năm dương; ai sinh trước Tết thì lùi một năm âm khi xét Tam Tai
1940-2024,1940,2024,85,co,Dần; Mão; Thìn,khong,,khong,Nhất Cát,"85 chia 9 dư 4 - chỉ dư 1, 3, 6 hoặc 8 mới phạm",tinh-toan,Năm sinh là năm dương; ai sinh trước Tết thì lùi một năm âm khi xét Tam Tai
1940-2025,1940,2025,86,khong,Dần; Mão; Thìn,khong,,khong,Nhì Nghi,"86 chia 9 dư 5 - chỉ dư 1, 3, 6 hoặc 8 mới phạm",tinh-toan,Năm sinh là năm dương; ai sinh trước Tết thì lùi một năm âm khi xét Tam Tai
1940-2026,1940,2026,87,khong,Dần; Mão; Thìn,co,Kim Lâu Tử,co,Tam Địa Sát,"87 chia 9 dư 6 - dư 1, 3, 6 hoặc 8 là phạm, dư 6 ứng với Kim Lâu Tử",tinh-toan,Năm sinh là năm dương; ai sinh trước Tết thì lùi một năm âm khi xét Tam Tai
1940-2027,1940,2027,88,khong,Dần; Mão; Thìn,khong,,khong,Tứ Tấn Tài,"88 chia 9 dư 7 - chỉ dư 1, 3, 6 hoặc 8 mới phạm",tinh-toan,Năm sinh là năm dương; ai sinh trước Tết thì lùi một năm âm khi xét Tam Tai
1940-2028,1940,2028,89,khong,Dần; Mão; Thìn,co,Kim Lâu Lục Súc,co,Ngũ Thọ Tử,"89 chia 9 dư 8 - dư 1, 3, 6 hoặc 8 là phạm, dư 8 ứng với Kim Lâu Lục Súc",tinh-toan,Năm sinh là năm dương; ai sinh trước Tết thì lùi một năm âm khi xét Tam Tai
1940-2029,1940,2029,90,khong,Dần; Mão; Thìn,khong,,co,Tam Địa Sát,"90 chia 9 dư 0 - chỉ dư 1, 3, 6 hoặc 8 mới phạm",tinh-toan,Năm sinh là năm dương; ai sinh trước Tết thì lùi một năm âm khi xét Tam Tai
1940-2030,1940,2030,91,khong,Dần; Mão; Thìn,co,Kim Lâu Thân,khong,Tứ Tấn Tài,"91 chia 9 dư 1 - dư 1, 3, 6 hoặc 8 là phạm, dư 1 ứng với Kim Lâu Thân",tinh-toan,Năm sinh là năm dương; ai sinh trước Tết thì lùi một năm âm khi xét Tam Tai
1940-2031,1940,2031,92,khong,Dần; Mão; Thìn,khong,,co,Ngũ Thọ Tử,"92 chia 9 dư 2 - chỉ dư 1, 3, 6 hoặc 8 mới phạm",tinh-toan,Năm sinh là năm dương; ai sinh trước Tết thì lùi một năm âm khi xét Tam Tai
1940-2032,1940,2032,93,khong,Dần; Mão; Thìn,co,Kim Lâu Thê,co,Lục Hoang Ốc,"93 chia 9 dư 3 - dư 1, 3, 6 hoặc 8 là phạm, dư 3 ứng với Kim Lâu Thê",tinh-toan,Năm sinh là năm dương; ai sinh trước Tết thì lùi một năm âm khi xét Tam Tai
